T_Set,Thermostate_Switch,T_Room
19,0,20.0651
19,0,20.052
19,0,20.0387
19,0,20.0253
19,0,20.0118
19,0,19.9982
19,0,19.9845
19,0,19.9707
19,0,19.9568
19,0,19.9428
19,0,19.9287
19,0,19.9145
19,0,19.9002
19,0,19.8858
19,0,19.8713
19,0,19.8567
19,0,19.842
19,0,19.8273
19,0,19.8125
19,0,19.7975
19,0,19.7825
19,0,19.7674
19,0,19.7523
19,0,19.737
19,0,19.7217
19,0,19.7063
19,0,19.6909
19,0,19.6753
19,0,19.6597
19,0,19.6441
19,0,19.6283
19,0,19.6125
19,0,19.5967
19,0,19.5808
19,0,19.5648
19,0,19.5487
19,0,19.5326
19,0,19.5165
19,0,19.5003
19,0,19.484
19,0,19.4677
19,0,19.4513
19,0,19.4349
19,0,19.4184
19,0,19.4019
19,0,19.3853
19,0,19.3687
19,0,19.3521
19,0,19.3354
19,0,19.3186
19,0,19.3018
19,0,19.285
19,0,19.2681
19,0,19.2512
19,0,19.2343
19,0,19.2173
19,0,19.2003
19,0,19.1833
19,0,19.1662
19,0,19.1491
19,0,19.132
19,0,19.1148
19,0,19.0976
19,0,19.0804
19,0,19.0631
19,0,19.0459
19,0,19.0286
19,0,19.0112
19,0,18.9949
19,0,18.9784
19,0,18.962
19,0,18.9455
19,0,18.929
19,0,18.9125
19,0,18.8959
19,0,18.8793
19,0,18.8627
19,0,18.846
19,0,18.8294
19,0,18.8127
19,0,18.7963
19,0,18.7799
19,0,18.7634
19,0,18.747
19,0,18.7305
19,0,18.714
19,0,18.6974
19,0,18.6809
19,0,18.6643
19,0,18.6477
19,0,18.6311
19,0,18.6145
19,0,18.5981
19,0,18.5818
19,0,18.5654
19,0,18.549
19,0,18.5326
19,0,18.5162
19,0,18.4998
19,1,18.4834
19,1,18.4703
19,1,18.4605
19,1,18.454
19,1,18.4508
19,1,18.4513
19,1,18.4549
19,1,18.4616
19,1,18.4713
19,1,18.4841
19,1,18.4997
19,1,18.5182
19,1,18.5392
19,1,18.5625
19,1,18.5878
19,1,18.615
19,1,18.6438
19,1,18.6747
19,1,18.7069
19,1,18.7403
19,1,18.7748
19,1,18.8102
19,1,18.8464
19,1,18.8833
19,1,18.9208
19,1,18.9589
19,1,18.9974
19,1,19.0364
19,1,19.0757
19,1,19.1156
19,1,19.1557
19,1,19.1961
19,1,19.2365
19,1,19.2771
19,1,19.3178
19,1,19.3585
19,1,19.3992
19,1,19.4399
19,1,19.4806
19,1,19.5213
19,0,19.5618
19,0,19.6015
19,0,19.6403
19,0,19.6783
19,0,19.7154
19,0,19.7518
19,0,19.7873
19,0,19.822
19,0,19.8559
19,0,19.889
19,0,19.9213
19,0,19.9529
19,0,19.9838
19,0,20.0139
19,0,20.0433
19,0,20.072
19,0,20.0999
19,0,20.1272
19,0,20.1537
19,0,20.1796
19,0,20.2049
19,0,20.2294
19,0,20.2534
19,0,20.2766
19,0,20.2993
19,0,20.3213
19,0,20.3427
19,0,20.3635
19,0,20.3837
19,0,20.4033
19,0,20.4224
19,0,20.4408
19,0,20.4587
19,0,20.4761
